Start Time,End Time,Type,Comments
Tue Mar 11 11:15:56 PDT 2014,Tue Mar 11 11:33:02 PDT 2014,Hole
Tue Mar 11 11:33:02 PDT 2014,Tue Mar 11 15:01:58 PDT 2014,Hole
Tue Mar 11 15:01:58 PDT 2014,Tue Mar 11 15:04:46 PDT 2014,Walk trip
Tue Mar 11 15:04:46 PDT 2014,Tue Mar 11 15:19:56 PDT 2014,Hole
Tue Mar 11 15:19:56 PDT 2014,Tue Mar 11 15:52:20 PDT 2014,Activity
Tue Mar 11 15:52:20 PDT 2014,Tue Mar 11 15:59:53 PDT 2014,Hole
Tue Mar 11 15:59:53 PDT 2014,Tue Mar 11 17:04:16 PDT 2014,Activity
Tue Mar 11 17:04:16 PDT 2014,Tue Mar 11 17:10:16 PDT 2014,Hole
Tue Mar 11 17:10:16 PDT 2014,Tue Mar 11 17:52:40 PDT 2014,Activity
Tue Mar 11 17:52:40 PDT 2014,Tue Mar 11 17:59:43 PDT 2014,Non-walk trip
