Start Time,End Time,Type,Comments
Tue Mar 11 03:00:07 PDT 2014,Tue Mar 11 09:40:50 PDT 2014,Activity
Tue Mar 11 09:40:50 PDT 2014,Tue Mar 11 09:51:49 PDT 2014,Activity
Tue Mar 11 09:51:49 PDT 2014,Tue Mar 11 09:55:21 PDT 2014,Non-walk trip
Tue Mar 11 09:55:21 PDT 2014,Tue Mar 11 10:01:53 PDT 2014,Activity
Tue Mar 11 10:01:53 PDT 2014,Tue Mar 11 10:08:55 PDT 2014,Non-walk trip
Tue Mar 11 10:08:55 PDT 2014,Tue Mar 11 16:09:39 PDT 2014,Activity
Tue Mar 11 16:09:39 PDT 2014,Tue Mar 11 16:17:15 PDT 2014,Non-walk trip
Tue Mar 11 16:17:15 PDT 2014,Tue Mar 11 16:31:22 PDT 2014,Walk trip
Tue Mar 11 16:31:22 PDT 2014,Tue Mar 11 19:25:43 PDT 2014,Activity
Tue Mar 11 19:25:43 PDT 2014,Wed Mar 12 00:00:19 PDT 2014,Hole
Wed Mar 12 00:00:19 PDT 2014,Wed Mar 12 01:21:41 PDT 2014,Activity
