Start Time,End Time,Type,Comments
2014-04-06 03:00:50,2014-04-06 09:13:44,Activity
2014-04-06 09:13:44,2014-04-06 09:14:55,Walk trip
2014-04-06 09:14:55,2014-04-06 10:08:00,Activity
2014-04-06 10:08:00,2014-04-06 10:10:19,Non-walk trip
2014-04-06 10:10:19,2014-04-06 10:13:00,Walk trip
2014-04-06 10:13:00,2014-04-06 10:21:02,Activity
2014-04-06 10:21:02,2014-04-06 11:08:53,Activity
2014-04-06 11:08:53,2014-04-06 11:11:13,Non-walk trip
2014-04-06 11:11:13,2014-04-06 11:17:22,Walk trip
2014-04-06 11:17:22,2014-04-06 11:26:15,Activity
2014-04-06 11:26:15,2014-04-07 02:59:34,Activity
