Start Time,End Time,Type,Comments
2014-04-06 08:59:36,2014-04-06 10:59:48,Activity
2014-04-06 10:59:48,2014-04-06 11:09:21,Walk trip
2014-04-06 11:09:21,2014-04-06 11:28:54,Activity
2014-04-06 11:28:54,2014-04-06 11:32:25,Walk trip
2014-04-06 11:32:25,2014-04-06 11:33:55,Non-walk trip
2014-04-06 11:33:55,2014-04-06 11:38:26,Walk trip
2014-04-06 11:38:26,2014-04-06 11:45:29,Activity
2014-04-06 11:45:29,2014-04-06 11:46:30,Walk trip
2014-04-06 11:46:30,2014-04-06 13:48:22,Activity
2014-04-06 13:48:22,2014-04-06 13:48:52,Walk trip
2014-04-06 13:48:52,2014-04-06 14:00:24,Activity
2014-04-06 14:00:24,2014-04-06 14:00:54,Walk trip
2014-04-06 14:00:54,2014-04-06 14:11:24,Activity
2014-04-06 14:11:24,2014-04-06 15:55:06,Activity
2014-04-06 15:55:06,2014-04-06 16:05:08,Walk trip
2014-04-06 16:05:08,2014-04-06 16:22:11,Activity
2014-04-06 16:22:11,2014-04-06 16:28:42,Activity
2014-04-06 16:28:42,2014-04-06 16:29:22,Walk trip
2014-04-06 16:29:22,2014-04-06 16:48:46,Activity
2014-04-06 16:48:46,2014-04-06 16:55:18,Activity
2014-04-06 16:55:18,2014-04-06 16:59:49,Walk trip
2014-04-06 16:59:49,2014-04-06 17:14:21,Activity
2014-04-06 17:14:21,2014-04-06 17:21:22,Hole
2014-04-06 17:21:22,2014-04-06 17:29:25,Walk trip
2014-04-06 17:29:25,2014-04-06 20:14:49,Activity
2014-04-06 20:14:49,2014-04-06 20:21:20,Hole
2014-04-06 20:21:20,2014-04-06 21:13:58,Activity
2014-04-06 21:13:58,2014-04-06 21:21:28,Hole
2014-04-06 21:21:28,2014-04-06 22:14:07,Activity
2014-04-06 22:14:07,2014-04-06 22:21:38,Hole
2014-04-06 22:21:38,2014-04-07 00:29:24,Activity
