Start Time,End Time,Type,Comments
Thu Mar 06 03:00:22 PST 2014,Thu Mar 06 10:58:23 PST 2014,Activity
Thu Mar 06 10:58:23 PST 2014,Thu Mar 06 11:08:27 PST 2014,Walk trip
Thu Mar 06 11:08:27 PST 2014,Thu Mar 06 13:39:53 PST 2014,Hole
Thu Mar 06 13:39:53 PST 2014,Thu Mar 06 13:40:54 PST 2014,Non-walk trip
Thu Mar 06 13:40:54 PST 2014,Thu Mar 06 13:48:57 PST 2014,Activity
Thu Mar 06 13:48:57 PST 2014,Thu Mar 06 14:00:58 PST 2014,Activity
Thu Mar 06 14:00:58 PST 2014,Thu Mar 06 15:12:37 PST 2014,Walk trip
Thu Mar 06 15:12:37 PST 2014,Thu Mar 06 15:44:18 PST 2014,Hole
Thu Mar 06 15:44:18 PST 2014,Thu Mar 06 15:54:40 PST 2014,Walk trip
Thu Mar 06 15:54:40 PST 2014,Thu Mar 06 16:07:55 PST 2014,Activity
Thu Mar 06 16:07:55 PST 2014,Thu Mar 06 16:15:35 PST 2014,Activity
Thu Mar 06 16:15:35 PST 2014,Thu Mar 06 16:21:36 PST 2014,Walk trip
Thu Mar 06 16:21:36 PST 2014,Thu Mar 06 16:28:01 PST 2014,Activity
Thu Mar 06 16:28:01 PST 2014,Thu Mar 06 19:33:55 PST 2014,Hole
Thu Mar 06 19:33:55 PST 2014,Thu Mar 06 19:34:55 PST 2014,Non-walk trip
Thu Mar 06 19:34:55 PST 2014,Thu Mar 06 19:45:01 PST 2014,Activity
Thu Mar 06 19:45:01 PST 2014,Thu Mar 06 19:50:02 PST 2014,Walk trip
