Start Time,End Time,Type,Comments
Wed Mar 05 09:47:14 PST 2014,Wed Mar 05 09:57:07 PST 2014,Non-walk trip
Wed Mar 05 09:57:07 PST 2014,Wed Mar 05 10:00:02 PST 2014,Walk trip
Wed Mar 05 10:00:02 PST 2014,Wed Mar 05 11:11:20 PST 2014,Activity
Wed Mar 05 11:11:20 PST 2014,Wed Mar 05 11:12:19 PST 2014,Walk trip
Wed Mar 05 11:12:19 PST 2014,Wed Mar 05 11:25:47 PST 2014,Activity
Wed Mar 05 11:25:47 PST 2014,Wed Mar 05 11:27:06 PST 2014,Walk trip
Wed Mar 05 11:27:06 PST 2014,Wed Mar 05 11:35:04 PST 2014,Hole
Wed Mar 05 11:35:04 PST 2014,Wed Mar 05 12:00:48 PST 2014,Activity
Wed Mar 05 12:00:48 PST 2014,Wed Mar 05 12:36:15 PST 2014,Hole
Wed Mar 05 12:36:15 PST 2014,Wed Mar 05 17:12:14 PST 2014,Activity
Wed Mar 05 17:12:14 PST 2014,Wed Mar 05 17:14:44 PST 2014,Walk trip
Wed Mar 05 17:14:44 PST 2014,Wed Mar 05 18:03:04 PST 2014,Activity
Wed Mar 05 18:03:04 PST 2014,Wed Mar 05 18:03:14 PST 2014,Non-walk trip
Wed Mar 05 18:03:14 PST 2014,Wed Mar 05 20:14:24 PST 2014,Activity
Wed Mar 05 20:14:24 PST 2014,Wed Mar 05 20:34:42 PST 2014,Activity
Wed Mar 05 20:34:42 PST 2014,Wed Mar 05 20:47:14 PST 2014,Non-walk trip
Wed Mar 05 20:47:14 PST 2014,Wed Mar 05 20:51:52 PST 2014,Walk trip
Wed Mar 05 20:51:52 PST 2014,Thu Mar 06 02:59:56 PST 2014,Activity
